wav_file,utterance_id,start_seconds,end_seconds,language,transcription,speaker_id,session_id
2_speak_whisper.wav,,1.37,4.07,english,hello how are you i'm paula,paula,
2_speak_whisper.wav,,5.16,8.71,english,hello how are you i'm paula,paula,
2_speech.wav,,2.13,10.0,english,hello today i woke up and then i had breakfast so after that i went to work,paula,
2_speech2.wav,,2.12,10.0,english,hello my name is paula nishijima i'm a visual artist i'm making a work about floods and droughts,paula,
2_speech3.wav,,1.65,10.0,english,hello i'm paula nishijima i'm half brazilian half japanese that's a little confusing sometimes,paula,
2_whisper.wav,,1.87,10.0,english,hello i'm paula how are you what are you doing do you use chatgpt,paula,
2_whisper2.wav,,2.38,10.0,english,water hello what are you doing are you about daniel what are the waves,paula,
3_paula_speak_1m_1.wav,,1.47,4.93,,,paula,
3_paula_speak_1m_1.wav,,4.93,6.61,,,paula,
3_paula_speak_1m_1.wav,,6.61,10.0,english,well test test let's see,paula,
3_paula_speak_1m_2.wav,,2.2,4.99,english,hello hello test so,paula,
3_paula_speak_1m_2.wav,,5.38,8.08,,,paula,
3_paula_speak_1m_2.wav,,8.08,10.0,,,paula,
3_paula_speak_1m_3.wav,,0.2,9.15,english,kaspar to see if he's really coming cos he's working today then we do this test is there something else,paula,
4_kaspar_speak_1m_1.wav,,0.2,5.23,dutch,,kaspar,
4_kaspar_speak_1m_1.wav,,7.19,8.72,english,longer or,kaspar,
4_kaspar_speak_1m_3.wav,,0.87,7.06,dutch,,kaspar,
4_kaspar_speak_1m_3.wav,,9.12,10.0,english,ok thanks,nicholas,
4_kaspar_speak_1m_4.wav,,0.92,1.77,english,go,nicholas,
4_kaspar_speak_1m_4.wav,,3.39,5.54,,,kaspar,
4_kaspar_speak_1m_4.wav,,5.54,6.2,english,i was just,kaspar,
4_kaspar_speak_1m_4.wav,,6.61,10.0,dutch,,kaspar,
4_kaspar_speak_1m_5.wav,,0.2,1.21,english,eee go,nicholas,
4_kaspar_speak_1m_5.wav,,1.92,10.0,english,i'm doing all these tests for the microphone and uh i'm not sure if i'm doing it right or maybe i'm doing it eh who knows,kaspar,
4_kaspar_speak_50cm_7.wav,,0.2,1.32,english,mmm go,nicholas,
4_kaspar_speak_50cm_7.wav,,2.07,10.0,english,i wanna know if the oracle is listening to me that's why I'm here testing it using my voice in the microphone so the oracle can,kaspar,
4_kaspar_speak_soln_50cm_8.wav,,0.2,1.51,english,and go,nicholas,
4_kaspar_speak_soln_50cm_8.wav,,1.81,10.0,english,hey oracle tell me what you know i wanna know all about the future and what it holds is the river gonna flood or is it,kaspar,
4_kaspar_whisper_1m_1.wav,,0.5,1.1,english,and now,nicholas,
4_kaspar_whisper_1m_1.wav,,1.91,10.0,dutch,,kaspar,
4_kaspar_whisper_1m_2.wav,,0.2,1.87,english,and go,nicholas,
4_kaspar_whisper_1m_2.wav,,2.45,10.0,dutch,,kaspar,
4_kaspar_whisper_1m_3.wav,,0.2,0.97,english,and go,nicholas,
4_kaspar_whisper_1m_3.wav,,1.69,10.0,dutch,,kaspar,
4_kaspar_whisper_1m_5.wav,,0.2,0.54,english,eh go,nicholas,
4_kaspar_whisper_1m_5.wav,,1.57,6.52,english,i wanna know if the oracle works because I don't know yet that's why I'm here to help with these tests,kaspar,
4_kaspar_whisper_50cm_6.wav,,0.2,0.89,english,eh go,nicholas,
4_kaspar_whisper_50cm_6.wav,,2.59,9.38,english,i wanna know if the oracle works that's why i'm testing in here right now using my voice in the microphone,kaspar,
4_kaspar_whisper_soln_50cm_9.wav,,0.2,1.36,english,uhh go,nicholas,
4_kaspar_whisper_soln_50cm_9.wav,,1.7,8.09,english,hey oracle i wanna know what you know so let me ask you these questions into the microphone tell me what you know,kaspar,
silent_whisper_speak.wav,,2.8,5.5,english,hello hello this is a whisper,paula,
silent_whisper_speak.wav,,6.4,9.64,english,hello hello this is a normal voice,paula,
silent_whisper.wav,,5.0,10.0,english,this is a whisper hello how are you,paula,
whispered_question.wav,,2.0,5.34,english,what is the future of water,paula,
whispered_question.wav,,8.17,8.7,english,just one,paula,
whispered_question2.wav,,2.08,8.68,english,hello hello what's the future of water what's the future of humans,paula,
