stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,is_speech,segment,-0.7077886710239651,-15.597492586791837,0.0,0.0,shared_histogram_mass,0.04790419161676647,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,speech_gate_open,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_evaluated,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_is_speech,segment,-0.21341568841568848,-2.175795451830167,0.125,0.25,shared_histogram_mass,0.9444444444444444,<=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,comparison_speech_aggressiveness,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,is_whisper,segment,0.3598338379687447,2.5874236589492647,1.0,0.25000000000000006,shared_histogram_mass,0.2777777777777778,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,whisper_processed,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,trigger,segment,0.007498516480552409,4.1414803470461505,1.0,0.25,shared_histogram_mass,0.004545454545454545,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,total_band_energy,segment,-3.305717762390722,-2.2871851906729903,0.0,0.5,shared_histogram_mass,0.9834308067258645,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,low_proportion,segment,-0.41787120253819054,-19.765567897499157,0.0,0.0,shared_histogram_mass,0.5037223101997209,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,mid_proportion,segment,0.33949663333291186,16.288687358769426,1.0,0.0,shared_histogram_mass,0.411200099304825,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_proportion,segment,0.06119320699007463,3.9716843862909643,1.0,0.0,shared_histogram_mass,0.06627077536591085,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,grouped_v1_is_whisper,segment,0.6594321458093914,4.268992252171141,1.0,0.0,shared_histogram_mass,0.5444444444444444,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,final_trigger,segment,0.007498516480552409,4.1414803470461505,1.0,0.25,shared_histogram_mass,0.004545454545454545,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,rms,segment,-0.002887933263910999,-3.2871198002133766,0.0,0.0,shared_histogram_mass,0.002618958074355737,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr,segment,0.08617074032599364,10.095001615017454,1.0,0.0,shared_histogram_mass,0.16248189734619792,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,entropy,segment,1.2515471977522736,11.111954257050606,1.0,0.0,shared_histogram_mass,3.5843455725537536,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,voicing,segment,-0.09483813011799203,-7.5097720966192965,0.0,0.0,shared_histogram_mass,0.8604921812460988,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,hnr,segment,-8.350946753552293,-2.615932321811988,0.0,0.25,shared_histogram_mass,93.09415976799804,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_centroid,segment,452.1393025602765,5.7198282454139395,1.0,0.0,shared_histogram_mass,1628.470531176045,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,band_energy_low,segment,-3.345159253765196,-2.6100153698669746,0.0,0.5,shared_histogram_mass,0.24982658785960762,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,band_energy_mid,segment,-0.009198462379455319,-0.043316995659919394,0.625,0.9999999999999998,shared_histogram_mass,0.6572808327216343,<=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,band_energy_high,segment,0.036813621531532066,1.3390536787342677,0.875,0.5,shared_histogram_mass,0.010407699020512366,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_score,segment,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,formant_score,segment,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,low_proportion_std,segment,0.02644460395072354,1.3595759568217378,0.875,0.75,shared_histogram_mass,0.11962466773265128,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,mid_proportion_std,segment,0.0507445118779659,2.683044475253415,1.0,0.5,shared_histogram_mass,0.1334639541256192,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,high_proportion_std,segment,0.03130978065371919,2.7176681395801894,1.0,0.24999999999999997,shared_histogram_mass,0.03550176587383468,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,zcr_std,segment,0.003948433574081117,1.186482066630185,0.625,0.5,shared_histogram_mass,0.030950664184820113,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,entropy_std,segment,-0.3372627706058594,-16.99086606861585,0.0,0.0,shared_histogram_mass,0.29925776915309227,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_centroid_std,segment,-72.48371012094287,-3.255249233546874,0.0,0.0,shared_histogram_mass,160.25007949436448,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_flux,segment,-0.011801488370101027,-2.8995695417330047,0.0,0.5,shared_histogram_mass,0.006694598556277275,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,cepstral_peak_prominence,segment,0.3007786586216863,7.64242286787565,1.0,0.0,shared_histogram_mass,1.287805228490464,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_slope,segment,-0.00016165655776579605,-6.783708276254508,0.0,0.0,shared_histogram_mass,-0.0007627009227496914,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_rolloff,segment,886.8999582534275,6.467625619645891,1.0,0.0,shared_histogram_mass,1803.0030030030032,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,spectral_flatness,segment,0.006237786424680784,2.2727377074478254,1.0,0.49999999999999994,shared_histogram_mass,0.013078424516750986,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_window_full,segment,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_silero_median,segment,-0.5041895489241554,-4.569715993557068,0.0,0.0,shared_histogram_mass,0.07621453046381284,<=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_low_proportion_std,segment,0.02644460395072354,1.3595759568217378,0.875,0.75,shared_histogram_mass,0.11962466773265128,>=,0.8,1.0,0.888888888888889,1,1,0,4,"[[1, 1], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_raw_is_whisper,segment,0.3598338379687447,2.5874236589492647,1.0,0.25000000000000006,shared_histogram_mass,0.2777777777777778,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_is_whisper,segment,0.3598338379687447,2.5874236589492647,1.0,0.25000000000000006,shared_histogram_mass,0.2777777777777778,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,temporal_v1_qualifying_run,segment,8.955091510383866,2.2016361310052264,1.0,0.4999999999999999,shared_histogram_mass,3.1,>=,1.0,1.0,1.0,2,0,0,4,"[[2, 0], [0, 4]]"
whisper,whisper_vs_normal_speech,confirmation_frames,segment,0.0,,0.5,1.0,shared_histogram_mass,20.0,>=,0.6666666666666666,1.0,0.8,0,2,0,4,"[[0, 2], [0, 4]]"
whisper,whisper_vs_all_non_whisper,is_speech,segment,0.0,0.0,0.5294117647058824,0.8823529411764706,shared_histogram_mass,0.0,>=,0.19047619047619047,1.0,0.32,0,17,0,4,"[[0, 17], [0, 4]]"
