wav_file,annotation_start_seconds,annotation_end_seconds,annotation_label,max_qualifying_run,max_segment_local_qualifying_run,max_live_qualifying_run,sustained_at_requirement,segment_local_sustained,cross_boundary_continuation,cross_boundary_frame_count,trigger
2_silence_quiet_background.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_silence_quiet_background.wav,0.2,10.0,silence,0,0,0,False,False,False,0,False
2_speak_whisper.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_speak_whisper.wav,0.2,1.37,silence,4,4,4,False,False,False,0,False
2_speak_whisper.wav,1.37,4.07,normal_speech,30,30,30,True,True,False,0,True
2_speak_whisper.wav,4.07,5.16,silence,8,8,31,True,False,True,8,False
2_speak_whisper.wav,5.16,8.71,whisper,29,29,30,True,True,True,1,False
2_speak_whisper.wav,8.71,10.0,silence,0,0,0,False,False,False,0,False
2_speech.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_speech.wav,0.2,2.13,silence,1,1,1,False,False,False,0,False
2_speech.wav,2.13,10.0,normal_speech,31,31,31,True,True,False,0,True
2_speech2.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_speech2.wav,0.2,2.12,silence,5,5,5,False,False,False,0,False
2_speech2.wav,2.12,10.0,normal_speech,15,15,15,False,False,False,0,False
2_speech3.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_speech3.wav,0.2,1.65,silence,1,1,1,False,False,False,0,False
2_speech3.wav,1.65,10.0,normal_speech,32,32,32,True,True,False,0,True
2_whisper.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_whisper.wav,0.2,1.87,silence,12,12,12,False,False,False,0,False
2_whisper.wav,1.87,10.0,whisper,21,21,21,True,True,False,0,True
2_whisper2.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
2_whisper2.wav,0.2,2.38,silence,1,1,1,False,False,False,0,False
2_whisper2.wav,2.38,10.0,whisper,43,43,43,True,True,False,0,True
silent_whisper.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper.wav,0.2,5.0,silence,1,1,1,False,False,False,0,False
silent_whisper.wav,5.0,10.0,whisper,29,29,29,True,True,False,0,True
silent_whisper_speak.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,0.2,2.8,silence,1,1,1,False,False,False,0,False
silent_whisper_speak.wav,2.8,5.5,whisper,36,36,36,True,True,False,0,True
silent_whisper_speak.wav,5.5,6.4,silence,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,6.4,9.64,normal_speech,9,9,9,False,False,False,0,False
silent_whisper_speak.wav,9.64,10.0,silence,12,12,12,False,False,False,0,False
test_background.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
test_background.wav,0.2,10.0,silence,11,11,11,False,False,False,0,False
whispered_question.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
whispered_question.wav,0.2,2.0,silence,19,19,19,False,False,False,0,False
whispered_question.wav,2.0,5.34,whisper,47,47,47,True,True,False,0,True
whispered_question.wav,5.34,8.17,silence,0,0,0,False,False,False,0,False
whispered_question.wav,8.17,8.7,normal_speech,4,4,4,False,False,False,0,False
whispered_question.wav,8.7,10.0,silence,8,8,8,False,False,False,0,False
whispered_question2.wav,0.0,0.5,background_noise,8,8,8,False,False,False,0,False
whispered_question2.wav,0.5,2.08,silence,5,5,13,False,False,False,0,False
whispered_question2.wav,2.08,8.68,whisper,67,67,67,True,True,False,0,True
whispered_question2.wav,8.68,10.0,silence,7,7,74,True,False,True,7,False
